region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Goa,Goa,2006,14012318.55,46326,10.743458853398351,16.455447397126168
Manipur,,2006,7719394.721,13994,9.546384659897555,15.859246514911659
Meghalaya,,2006,10237701.77,25409,10.142859114516247,16.141587715862553
Nagaland,,2006,5911270.407,9349,9.14302573432386,15.592371325165178
Sikkim,Sikkim,2006,3607660.634,6294,8.747353666437833,15.098570096428158
Mizoram,,2006,6405170.158,6536,8.785082166526427,15.672616059392565
Lakshadweep,,2006,913685.3189,163,5.093811548618198,13.7252415011111
Uttar Pradesh,,2007,564485283.7,1267924,14.05289148316141,20.15142487159504
Maharashtra,Maharashtra,2007,569536883.9,2035985,14.526490294150006,20.160334104162573
Telangana,,2007,290718598.5,1016903,13.832272301751248,19.48786634181075
Bihar,Bihar,2007,257615623.5,186759,12.137574348149856,19.366979200588244
Madhya Pradesh,,2007,253619670.6,951956,13.766274104722687,19.35134634297671
West Bengal,,2007,273925383.5,660223,13.400332950868702,19.428366304273005
Gujarat,,2007,324353623.2,1293280,14.072692192699948,19.597344908209937
Andhra Pradesh,,2007,327388579.8,1127194,13.93524192549997,19.606658340802404
Tamil Nadu,,2007,278541478.4,1552784,14.25556001325687,19.44507754125087
Karnataka,,2007,288964715.5,1400397,14.152266332956112,19.481815146927406
Jharkhand,,2007,141669464.7,209412,12.252058930119626,18.769007188849063
Rajasthan,,2007,238232043.0,1628562,14.303207980959353,19.28875572724886
Chhattisgarh,,2007,117808422.2,393266,12.88224153210707,18.58457032238158
Kerala,Kerala,2007,233173233.1,394457,12.885265439946004,19.267292224977997
Punjab,Punjab,2007,225979167.8,1107027,13.917188610670442,19.235953375111812
Uttarakhand,,2007,102861871.6,206610,12.23858828560722,18.448897593751184
NCT of Delhi,Delhi,2007,164348915.4,112374,11.629587961946461,18.917502258722028
Haryana,,2007,135828332.3,794709,13.585731301475677,18.72690238387599
Odisha,,2007,99941391.13,394544,12.885485971981192,18.420094483435246
Assam,,2007,81111045.93,239784,12.387493838785163,18.211329711167426
Puducherry,,2007,20199556.69,22680,10.029239198758699,16.82117121609101
Himachal Pradesh,,2007,43617308.91,200861,12.210368455312661,17.590964622886876
Jammu and Kashmir,,2007,62483643.29,224442,12.321372645447692,17.950415373095282
Tripura,,2007,12372143.73,44984,10.714062372273277,16.3309580300814
Goa,Goa,2007,18970560.26,52689,10.872162173882762,16.75839887547613
Manipur,,2007,9450633.732,15758,9.66510408640373,16.0615923588087
Meghalaya,,2007,11948710.64,32221,10.380374003229106,16.296133934286267
Nagaland,,2007,7624844.34,14247,9.56430233911914,15.846922465823143
Sikkim,Sikkim,2007,3650757.492,9857,9.19593815617238,15.110445236081672
Mizoram,,2007,7667221.571999999,10000,9.210341371975682,15.852464861562606
Lakshadweep,,2007,941072.618,221,5.398207949362832,13.754775586684561
Uttar Pradesh,,2008,550608568.6,1142743,13.94894207935183,20.126534712847366
Maharashtra,Maharashtra,2008,578496787.4,2006425,14.511865094454693,20.175943551255013
